delta_time_sec,angular_sep_deg,cross_source,label_correlated
1641,7.422258768602557,0,0
203,13.821116254785235,0,0
43,15.15553120750316,1,0
1115,4.967525207396005,0,0
597,3.193326987343015,1,1
643,10.6664709571921,1,0
351,19.97785224066581,0,0
354,1.89930550456753,1,1
499,10.468027418440165,0,0
458,0.4741550728903676,1,1
328,1.2407352725756304,1,1
175,6.486587547030361,0,0
488,2.6337380687241407,1,1
66,4.530432520722114,1,1
570,18.048065522213495,0,0
366,17.93990578728822,1,0
65,3.587293640244209,1,1
70,0.9738969679985954,1,1
18,0.3994586515605625,1,1
213,8.222886729599741,1,0
563,4.070697477737928,1,1
18,13.42541650458265,1,0
1728,3.35133078609013,0,0
667,4.781327681500594,0,0
132,0.13755924439298628,1,1
296,3.4956256974986766,1,1
377,3.1975952673288277,1,1
108,3.81853170143287,1,1
1137,18.275768877465186,0,0
83,4.293917749267109,1,1
416,10.649418157677948,1,0
243,4.219397812399008,1,1
5,0.33184961265195767,1,1
525,1.0913081656539791,1,1
1137,17.52638866284623,1,0
68,15.24893917349737,1,0
302,9.664641517508702,0,0
6,0.3828973599367336,1,1
583,4.081753223115205,1,1
479,19.386436245683576,1,0
537,17.58660431356948,0,0
1611,16.31911578830413,1,0
34,2.713229343207555,1,1
1832,3.933071699059174,1,0
128,15.559699431418736,0,0
0,13.53640087260094,0,0
150,0.7791569269692844,1,1
100,1.6314985122273185,1,1
113,3.233891065479737,1,1
218,13.476777965400093,0,0
327,4.539570789430421,1,1
236,4.150818724114069,1,1
423,18.582894344233747,0,0
1560,4.83202552871526,1,0
339,3.34714064473562,1,1
15,17.328463670794005,0,0
189,11.556141005021694,1,0
521,10.427540429474824,0,0
615,8.755301099762569,0,0
903,4.353347991610721,0,0
304,1.691307561944757,1,1
11,11.1948932266735,1,0
1706,0.2802903505211396,0,0
56,10.361549960806895,0,0
358,1.204538898005949,1,1
89,18.410717702051095,1,0
65,12.226833124954524,0,0
109,2.8239812707436984,1,1
798,17.665472028524476,1,0
320,11.576135090238811,1,0
21,11.987194500843312,0,0
41,1.8265146866711413,1,1
190,1.9684837820273748,1,1
745,7.866413407703774,1,0
172,18.81007905758805,1,0
1034,10.764402037369505,1,0
479,7.784172372468776,1,0
175,3.8025753263741136,1,1
593,4.222518851160748,1,1
19,0.17238005183560556,1,1
53,16.776786735305407,1,0
205,6.350994005151769,1,0
2,4.73847987793447,1,1
29,16.31490761252242,0,0
1438,5.434351977963594,0,0
163,0.6875371670345043,1,1
701,2.8862408737496303,0,0
119,11.29181277866927,0,0
281,0.18174069902432644,1,1
191,9.35362424969754,0,0
95,0.10626951336691892,1,1
634,6.128656454067432,0,0
89,3.0094454201199494,1,1
16,6.9096170744689145,0,0
526,1.6825532451876568,1,1
435,13.357358134016268,1,0
328,1.0766104981691815,1,1
864,5.965449084682454,1,0
36,3.7584076163064606,1,1
149,2.4077515757817802,1,1
874,5.04629472270306,1,0
140,0.5730485515530903,1,1
37,2.714917061998021,1,1
540,6.618295315603904,1,0
36,16.298794570810784,0,0
87,12.210935100308491,1,0
55,16.389913707721046,1,0
725,19.508207353694903,1,0
596,3.4504775389272413,1,1
369,1.9829222455524786,0,0
47,1.1235215469487803,1,1
582,0.01195877669590617,1,1
75,1.454698955573368,1,1
509,3.580632748831676,0,0
40,16.06023763052641,0,0
416,2.0653001775009683,1,1
611,12.830089625125034,0,0
81,2.1360140800472727,1,1
175,0.3930296549369561,1,1
165,13.978976569747712,1,0
835,10.940906912311554,0,0
96,0.4201831397272149,1,1
225,10.211615149191198,1,0
116,2.1080275479292454,1,1
471,0.6020774442263788,1,1
33,16.672880209503447,1,0
922,18.572611242307882,1,0
157,4.863599605284518,0,0
139,8.064212663676456,0,0
59,1.1691597447375401,1,1
553,13.943325085807007,1,0
23,12.645643072752797,1,0
71,11.013209184731284,1,0
1005,16.339478145436736,1,0
34,19.549131263676852,1,0
1505,15.933627943827446,0,0
334,1.5055743330334725,1,1
566,1.888377953209619,1,1
234,2.7890047241032034,0,0
91,2.465675585978937,1,1
362,10.938577519709538,1,0
502,4.1819472917922855,1,1
1482,6.9161219682085,1,0
633,8.323218928123154,0,0
459,13.480398381175853,0,0
134,3.7055370066708004,1,1
2153,10.025512892514588,0,0
241,17.36819047893868,1,0
50,4.41302119243497,1,1
37,16.699475713659247,1,0
792,7.391483988535463,1,0
205,10.885079322273954,1,0
952,14.57556108901295,0,0
501,15.97311560713273,0,0
302,0.8813172314076279,1,1
552,4.738666498132973,1,1
355,0.14183625548741974,1,1
372,1.7557647411631994,1,1
1446,6.683854283462198,0,0
413,2.9339022803036308,1,1
272,2.8064903638703,1,1
14,11.314899012265784,0,0
1505,0.349964279747772,1,0
412,1.7483361574216771,0,0
2925,1.1405382800723873,1,0
129,1.952200762179832,1,1
462,1.7393404051186612,1,1
54,2.6641984827325738,0,0
76,2.536480451008376,1,1
514,1.7341313519128043,1,1
1889,2.6601959781465756,1,0
481,4.993379054804603,1,1
87,3.8451583693618385,1,1
6,11.615371672288433,0,0
36,2.4499572393197844,1,1
64,1.0946541384997177,1,1
100,0.44132297364581685,1,1
172,13.708877664438031,0,0
225,2.372875314831606,0,0
220,12.409475701039412,1,0
309,2.3741819101822292,1,1
47,0.8070165371939941,1,1
2847,6.525078360822936,1,0
23,1.5116722770813396,1,1
135,2.3510260030043995,1,1
323,1.947337875824422,1,1
550,4.596534515952369,1,1
1242,5.216984919241778,0,0
352,0.9858898552883288,0,0
386,3.899165429972611,1,1
139,3.9258860462213407,1,1
83,1.8489903407413322,1,1
91,3.764643995380912,1,1
576,1.3500509336764388,1,1
180,4.084842127368578,1,1
81,4.215862031000572,1,1
186,5.375952300603963,0,0
446,4.069454849951917,1,1
45,17.43826122561011,0,0
150,18.31628696381488,0,0
50,3.3604010438535714,0,0
65,0.48010089689777713,1,1
902,9.887416220915162,1,0
150,0.02224188392374815,1,1
62,3.4187280484169658,1,1
158,10.929170834562488,1,0
483,3.6926491469473843,1,1
13,1.4979168400396747,1,1
330,18.47462791753552,1,0
220,4.729498244773891,1,1
544,0.6531812156899175,1,1
231,4.909089250778608,0,0
142,3.3307702699454,1,1
276,13.550632277673692,1,0
435,8.453732393148513,1,0
138,1.345692258430291,1,1
934,6.939179007551717,0,0
201,4.085129358727928,1,1
430,4.907046283324221,1,1
201,1.00350700639948,1,1
0,0.795942546713051,1,1
306,2.827671084326804,1,1
164,11.674271754627279,1,0
310,0.9672542209756174,1,1
240,3.98439371674153,1,1
69,1.2512968443890315,0,0
274,4.545221071193247,1,1
168,3.127242832897501,1,1
43,1.066959939777954,0,0
519,3.7660504983421283,1,1
40,3.1240301586119856,1,1
169,1.9328966857550456,1,1
343,15.31717287769484,1,0
1090,2.051359251671796,1,0
194,3.479274118066773,1,1
256,2.1174863642625863,1,1
124,0.2736482952136221,1,1
544,14.967117073314796,0,0
68,2.5200405572798856,1,1
221,18.23637139078894,0,0
290,5.106727475264883,1,0
514,1.5394333876174815,1,1
450,4.587315540753448,1,1
54,6.243794731382588,0,0
330,4.503220484318637,1,1
383,10.052624852602609,0,0
57,3.6352719552238844,1,1
290,9.112990988797549,0,0
653,8.163033817333963,1,0
527,3.585065114785615,1,1
236,0.9753263762628084,1,1
208,0.12928715579421102,1,1
181,12.164227535328934,1,0
103,13.662285714460932,0,0
13,11.140810265500702,1,0
169,0.6684714487100751,1,1
860,1.6514431607055435,0,0
467,12.365700420274397,0,0
349,16.527806232011105,1,0
34,15.069442213191934,1,0
170,0.22605073178044943,0,0
307,0.13964523760696235,0,0
481,5.089626632365205,1,0
141,3.3369715641115527,0,0
184,6.998757071414281,0,0
309,17.673679353759795,1,0
515,3.5430704644525113,1,1
95,4.9392233398378504,0,0
200,4.052652682706864,1,1
15,4.326655552616541,1,1
103,0.49943324234099196,1,1
468,3.3251066069940127,1,1
1688,4.999457817376594,1,0
523,3.1241313737324394,1,1
1058,19.449227800558045,1,0
195,1.3742735544792195,1,1
256,1.1148170717488348,1,1
39,0.324868864189074,1,1
142,7.106394969477754,1,0
441,1.344683601811223,1,1
232,18.91430216882049,0,0
396,2.486916828617407,1,1
485,0.8066770427690395,1,1
370,2.3594496725612313,1,1
488,17.659876496595462,0,0
36,18.96739105577838,0,0
2,11.40573877462781,0,0
97,3.705407107666474,1,1
2,3.7318019374633504,1,1
466,13.538815659936747,1,0
544,19.47600826714299,1,0
525,12.974942277900363,1,0
1649,2.767431894411132,1,0
558,4.640363606176214,1,1
196,4.202143858247036,1,1
136,12.708287137238196,1,0
534,3.250221305949126,1,1
125,4.6276127275369605,1,1
206,0.5421330467246621,1,1
757,8.312555640583103,0,0
1486,2.027457951063183,1,0
477,3.3562919129205726,1,1
426,4.657171137521885,0,0
135,16.494864746940152,1,0
118,12.779260439465691,0,0
1326,6.237588715274505,1,0
180,3.9818683987185133,1,1
114,4.8160763214634645,1,1
336,1.133608643316708,0,0
491,4.830012559856669,1,1
213,2.691525342082155,0,0
471,3.9728915379481156,1,1
75,19.832486859224563,1,0
466,10.885146740305016,0,0
649,16.526816219003734,1,0
9,3.7975065819183995,1,1
103,0.3831097110250581,1,1
205,2.8848004223620705,1,1
411,16.796032133288534,0,0
2057,8.705245593131076,1,0
1398,16.465464253600604,1,0
378,4.657582923036301,1,1
977,8.690619266089907,1,0
339,2.9322911431968457,0,0
34,8.353339916339895,1,0
46,4.666656452986533,1,1
261,0.9861797421964935,1,1
468,11.696556226115817,0,0
157,3.6355773443472383,1,1
1002,13.68870722138615,0,0
254,16.47104453223638,0,0
10,4.762933073313926,1,1
680,7.599581579307893,1,0
328,1.9338911957513427,1,1
6,10.631443053734625,1,0
209,2.5128698482462797,1,1
987,15.504690777981121,0,0
61,18.89472517566159,1,0
1049,4.9991389279524245,0,0
15,5.612016264758319,0,0
245,1.8270648544711166,1,1
493,18.42615024425951,1,0
288,14.454755044776093,0,0
813,6.360792233890398,1,0
103,2.1078643621561044,1,1
612,11.913596483230592,1,0
998,1.1376279555529312,1,0
467,9.57056739839045,0,0
59,3.4699210071004405,1,1
418,4.279893573966271,1,1
249,8.347658836009465,1,0
83,11.537624026224169,0,0
559,4.813410295143061,1,1
334,5.957187967804225,0,0
333,0.214305953907179,1,1
395,0.5624301255584752,1,1
6,12.698133183063256,0,0
206,3.66884392806869,1,1
612,18.56364196227903,0,0
564,2.7997475344352574,1,1
518,1.409838912862893,1,1
42,0.8315791969318753,1,1
478,14.32794223916198,0,0
430,16.879869438840494,0,0
198,13.384380598497334,1,0
55,3.8535279297340064,1,1
389,9.486173297368605,0,0
448,3.696767958940499,1,1
385,4.18118747413692,1,1
90,2.9219313108264044,1,1
233,5.916481949930721,0,0
277,2.1096685492207135,1,1
162,14.193426870090489,0,0
481,3.2532163021097027,1,1
54,1.345118279347357,1,1
726,7.2680786399885395,0,0
16,2.673913087988724,1,1
113,15.035963271738659,1,0
150,6.956446948660919,0,0
495,0.6229818558678213,1,1
261,3.1747352674861906,1,1
342,4.35782759253488,1,1
76,3.6808954410042705,0,0
257,0.8027771817073304,1,1
1038,18.68866077506883,0,0
164,4.391078464596038,1,1
103,1.6319744000967673,1,1
18,1.5139945461957494,1,1
